Dataset,Model_Name,Image_Name,Norm,LipMIP_Result,LipMIP_Time,LiRPA_Result,LiRPA_Time,Eclipse_Result,Eclipse_Time,Sampling_Time,Sampling_File_Path
MNIST,CNN_4Layer,image_0,linf,ERROR,0.428966760635376,5508.8115234375,1.1158957481384277,,,5.3905651569366455,MNIST/samples_mnist_cnn_4layer_image_0_linf.pt
MNIST,CNN_4Layer_8,image_0,linf,ERROR,0.2030363082885742,52537.0859375,1.8294541835784912,,,4.321413278579712,MNIST/samples_mnist_cnn_4layer_8_image_0_linf.pt
MNIST,MLP_3Layer,image_0,linf,ERROR,0.0364356040954589,106.89413452148438,0.05696916580200195,,,0.7920145988464355,MNIST/samples_mnist_mlp_3layer_image_0_linf.pt
CIFAR,CNN_4Layer,image_0,linf,ERROR,0.0861566066741943,51958.99609375,0.2974374294281006,,,16.855759382247925,CIFAR/samples_cnn_4layer_stride1_padding0_image_0_linf.pt
CIFAR,CNN_6Layer,image_0,linf,ERROR,0.0433888435363769,11719910.0,0.2767789363861084,,,21.440307140350345,CIFAR/samples_cnn_6layer_stride1_padding0_image_0_linf.pt
TinyImageNet,CNN_4Layer,image_0,linf,ERROR,0.0505793094635009,192183.109375,0.1627964973449707,,,43.18957686424256,TinyImageNet/samples_cnn_4layer_stride2_imagenet_image_0_linf.pt
TinyImageNet,CNN_6Layer,image_0,linf,ERROR,0.0611782073974609,16517694.0,0.13707828521728516,,,48.90937042236328,TinyImageNet/samples_cnn_6layer_stride2_imagenet_image_0_linf.pt
MNIST,CNN_4Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,0.92845028412385,0.3648712635040283,4.7533838748931885,MNIST/samples_mnist_cnn_4layer_image_0_l2.pt
MNIST,CNN_4Layer_8,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,39.85463397223373,39.96021580696106,5.055205821990967,MNIST/samples_mnist_cnn_4layer_8_image_0_l2.pt
MNIST,MLP_3Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,1.6577823520702422,0.015366792678833,3.715315103530884,MNIST/samples_mnist_mlp_3layer_image_0_l2.pt
CIFAR,CNN_4Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,0.8540100773299076,64.55653095245361,18.987298011779785,CIFAR/samples_cnn_4layer_stride1_padding0_image_0_l2.pt
CIFAR,CNN_6Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,0.896204970774704,26.888991117477417,19.04989266395569,CIFAR/samples_cnn_6layer_stride1_padding0_image_0_l2.pt
TinyImageNet,CNN_4Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,12.846852514074058,2.928771495819092,45.97588539123535,TinyImageNet/samples_cnn_4layer_stride2_imagenet_image_0_l2.pt
TinyImageNet,CNN_6Layer,image_0,l2,SKIPPED,SKIPPED,SKIPPED,SKIPPED,14.586274696109305,0.06405234336853027,48.45246076583862,TinyImageNet/samples_cnn_6layer_stride2_imagenet_image_0_l2.pt
